Saggio;EsitoSaggio;Molecola;Fonte;Note
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;SULFATIAZOLO;DAZEBAO;COLORAZIONE ARANCIO-ROSSO
AMMINE PRIMARIE e NO2-AROM (DIAZO-COPULAZIONE);POSITIVO;TIAMINA HCl;DAZEBAO;PPT GIALLINO, POI ROSSO
AMMINE TERZIARIE (DRAGENDORFF);NEGATIVO;BENZOCAINA;DAZEBAO;
AMMINE TERZIARIE (DRAGENDORFF);NEGATIVO;ISONIAZIDE;;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;CHINIDINA SOLFATO;DAZEBAO;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;CHININA HCl;SCHEDE;PPT ARANCIONE ACCESO
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;CHININA SOLFATO;DAZEBAO;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;CLORPROMAZINA HCl;DAZEBAO;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;FENAZONE;;PPT ARANCIONE
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;FENOTIAZINA;DAZEBAO;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;LIDOCAINA HCl;DAZEBAO;PPT ARANCIONE
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;METFORMINA HCl;;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;NICOTINAMIDE;;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;PROBENECID;;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;PROCAINA HCl;;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;PROCAINAMMIDE HCl;;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;PROMETAZINA HCl;SCHEDE;PPT ARANCIONE ACCESO
TTC (STEROIDI);NEGATIVO;DESAMETASONE SODIO FOSFATO;;ROSA PALLIDO
TTC (STEROIDI);NEGATIVO;PROGESTERONE;;
TTC (STEROIDI);NEGATIVO;SPIRONOLATTONE;;
TTC (STEROIDI);POSITIVO;CORTISONE ACETATO;DAZEBAO;ROSSO SANGUE
TTC (STEROIDI);POSITIVO;DESAMETASONE ACETATO;;ROSSO SCURO
TTC (STEROIDI);POSITIVO;IDROCORTISONE;;ROSSO SANGUE
TTC (STEROIDI);POSITIVO;IDROCORTISONE ACETATO;;ROSSO FUOCO
TTC (STEROIDI);POSITIVO;PREDNISONE;SCHEDE;ROSSO
